frame_idx,timestamp,A_forehead_R_raw,A_forehead_G_raw,A_forehead_B_raw,A_forehead_R_BPF,A_forehead_G_BPF,A_forehead_B_BPF,A_forehead_R_BPFSG,A_forehead_G_BPFSG,A_forehead_B_BPFSG,A_forehead_rPPG,B_cheek_R_raw,B_cheek_G_raw,B_cheek_B_raw,B_cheek_R_BPF,B_cheek_G_BPF,B_cheek_B_BPF,B_cheek_R_BPFSG,B_cheek_G_BPFSG,B_cheek_B_BPFSG,B_cheek_rPPG,C_combined_R_raw,C_combined_G_raw,C_combined_B_raw,C_combined_R_BPF,C_combined_G_BPF,C_combined_B_BPF,C_combined_R_BPFSG,C_combined_G_BPFSG,C_combined_B_BPFSG,C_combined_rPPG
27,1777837102.194665,153.874462,115.440568,108.457795,-0.819529,-0.710120,-0.766275,-0.855012,-0.731158,-0.767303,-0.052319,169.361852,135.240617,126.126790,0.229417,0.785785,0.655714,0.197326,0.763886,0.601785,0.170809,164.199388,128.640601,120.237125,-0.120231,0.287150,0.181718,-0.153454,0.265538,0.145423,-0.192603
28,1777837102.262234,155.292636,115.614987,108.291990,0.480845,0.058710,-0.107821,0.468586,0.067093,-0.082276,-0.029604,168.210123,130.819506,121.108148,0.538074,-0.570652,-0.960400,0.563881,-0.492945,-0.889375,0.183303,163.904294,125.751333,116.836095,0.518998,-0.360865,-0.676207,0.532116,-0.306266,-0.620342,0.026147
29,1777837102.318122,156.544012,117.154532,109.936970,1.832147,0.868235,0.646654,1.789717,0.839753,0.630562,-0.010528,167.743145,128.653208,117.737610,1.034053,-1.595510,-2.226621,1.089135,-1.436644,-2.032606,0.158743,164.010100,124.820316,115.137397,1.300084,-0.774262,-1.268863,1.322662,-0.677845,-1.144883,0.243963
30,1777837102.373372,156.544012,117.154532,109.936970,3.202938,1.664703,1.435967,3.153424,1.606713,1.393579,0.003952,167.743145,128.653208,117.737610,1.797966,-2.038051,-2.800627,1.830663,-1.916035,-2.638550,0.096129,164.010100,124.820316,115.137397,2.266290,-0.803800,-1.388429,2.271583,-0.741786,-1.294507,0.413210
31,1777837102.440733,157.542851,117.972222,110.340224,4.607701,2.420482,2.231640,4.628986,2.412661,2.230874,0.013608,168.494568,129.135926,118.500000,2.811087,-1.904537,-2.669844,2.830788,-1.838250,-2.581719,0.012539,164.843996,125.414691,115.780075,3.409959,-0.462864,-1.036016,3.430187,-0.421279,-0.977521,0.495546
32,1777837102.501153,155.350117,115.918925,109.192020,6.124290,3.196069,3.079875,6.251693,3.280671,3.145813,0.019213,167.145224,128.632432,117.866472,4.039463,-1.279744,-1.946694,4.090293,-1.210753,-1.862936,-0.069522,163.213522,124.394596,114.974988,4.734405,0.212194,-0.271171,4.810760,0.286388,-0.193353,0.484880
33,1777837102.579908,155.350117,115.918925,109.192020,7.908304,4.136412,4.064779,8.041041,4.232591,4.140948,0.021857,167.145224,128.632432,117.866472,5.497802,-0.214058,-0.692135,5.572949,-0.152781,-0.627551,-0.128453,163.213522,124.394596,114.974988,6.301303,1.236099,0.893503,6.395646,1.309010,0.961949,0.411354
34,1777837102.657648,158.785627,118.501229,110.862817,9.899679,5.223310,5.158823,9.985961,5.282906,5.210950,0.022014,167.633217,130.882984,121.010373,7.127011,1.157682,0.924067,7.214021,1.171454,0.921236,-0.151576,164.684020,126.755732,117.627854,8.051233,2.512891,2.335653,8.138001,2.541938,2.351141,0.314181
35,1777837102.709223,156.989087,117.212103,110.202778,11.840183,6.286070,6.225806,11.976687,6.374866,6.295074,0.020052,167.013393,131.220009,121.072573,8.780911,2.583372,2.590038,8.896699,2.582293,2.571816,-0.137646,163.671958,126.550707,117.449308,9.800668,3.817605,3.801961,9.923362,3.846484,3.812902,0.221997
36,1777837102.762254,156.989087,117.212103,110.202778,13.589205,7.255493,7.176763,13.759546,7.348261,7.253966,0.016618,167.013393,131.220009,121.072573,10.301651,3.869247,4.095562,10.416604,3.873038,4.094077,-0.102220,163.671958,126.550707,117.449308,11.397503,4.997996,5.122629,11.530918,5.031445,5.147373,0.142459
